Date,Hours,NO
01/01/18,00-01,16989
01/01/18,01-02,16764
01/01/18,02-03,16509
01/01/18,03-04,16109
01/01/18,04-05,16152
01/01/18,05-06,16205
01/01/18,06-07,16567
01/01/18,07-08,16867
01/01/18,08-09,17175
01/01/18,09-10,17421
01/01/18,10-11,17805
01/01/18,11-12,18103
01/01/18,12-13,18277
01/01/18,13-14,18408
01/01/18,14-15,18454
01/01/18,15-16,18639
01/01/18,16-17,18821
01/01/18,17-18,18724
01/01/18,18-19,18551
01/01/18,19-20,18318
01/01/18,20-21,18121
01/01/18,21-22,17774
01/01/18,22-23,17198
01/01/18,23-00,16691
02/01/18,00-01,16195
02/01/18,01-02,15899
02/01/18,02-03,15814
02/01/18,03-04,15909
02/01/18,04-05,16109
02/01/18,05-06,16493
02/01/18,06-07,17890
02/01/18,07-08,19451
02/01/18,08-09,19978
02/01/18,09-10,20046
02/01/18,10-11,20385
02/01/18,11-12,20417
02/01/18,12-13,20479
02/01/18,13-14,20463
02/01/18,14-15,20147
02/01/18,15-16,20420
02/01/18,16-17,20709
02/01/18,17-18,20644
02/01/18,18-19,20329
02/01/18,19-20,20119
02/01/18,20-21,19746
02/01/18,21-22,19355
02/01/18,22-23,18503
02/01/18,23-00,17875
03/01/18,00-01,17267
03/01/18,01-02,16947
03/01/18,02-03,16877
03/01/18,03-04,16903
03/01/18,04-05,17033
03/01/18,05-06,17492
03/01/18,06-07,18845
03/01/18,07-08,20429
03/01/18,08-09,20925
03/01/18,09-10,20865
03/01/18,10-11,20939
03/01/18,11-12,20870
03/01/18,12-13,20777
03/01/18,13-14,20744
03/01/18,14-15,20982
03/01/18,15-16,21167
03/01/18,16-17,21342
03/01/18,17-18,21219
03/01/18,18-19,20855
03/01/18,19-20,20614
03/01/18,20-21,20192
03/01/18,21-22,19765
03/01/18,22-23,19062
03/01/18,23-00,18237
04/01/18,00-01,17576
04/01/18,01-02,17055
04/01/18,02-03,16928
04/01/18,03-04,16906
04/01/18,04-05,17002
04/01/18,05-06,17471
04/01/18,06-07,18901
04/01/18,07-08,20513
04/01/18,08-09,20985
04/01/18,09-10,20888
04/01/18,10-11,20631
04/01/18,11-12,20507
04/01/18,12-13,20554
04/01/18,13-14,20591
04/01/18,14-15,20675
04/01/18,15-16,20870
04/01/18,16-17,21002
04/01/18,17-18,20730
04/01/18,18-19,20503
04/01/18,19-20,20131
04/01/18,20-21,19733
04/01/18,21-22,19362
04/01/18,22-23,18783
04/01/18,23-00,17759
05/01/18,00-01,17169
05/01/18,01-02,16942
05/01/18,02-03,16774
05/01/18,03-04,16854
05/01/18,04-05,16999
05/01/18,05-06,17307
05/01/18,06-07,18917
05/01/18,07-08,20476
05/01/18,08-09,21138
05/01/18,09-10,21107
05/01/18,10-11,21171
05/01/18,11-12,20864
05/01/18,12-13,20704
05/01/18,13-14,20752
